,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
193,OBJECT_ANALOG_INPUT_3001495,NAE02/FC-1.CU-14.ZN2-T
194,OBJECT_ANALOG_INPUT_3001496,NAE02/FC-1.CU-14.ZN1-T
195,OBJECT_ANALOG_INPUT_3001497,NAE02/FC-1.CU-14.ZN3-T
196,OBJECT_ANALOG_INPUT_3001498,NAE02/FC-1.CU-14.ZN4-T
197,OBJECT_ANALOG_INPUT_3001503,NAE02/FC-1.CU-14.FLOOR-P1
198,OBJECT_ANALOG_INPUT_3001504,NAE02/FC-1.CU-14.FLOOR-P2
199,OBJECT_ANALOG_INPUT_3001505,NAE02/FC-1.CU-14.SA-T
200,OBJECT_ANALOG_INPUT_3001508,NAE02/FC-1.CU-14.RA-CO2A
201,OBJECT_ANALOG_INPUT_3001511,NAE02/FC-1.CU-14.RA-CO2B
202,OBJECT_ANALOG_INPUT_3001531,NAE02/FC-1.CU-14.RA-CO2C
203,OBJECT_ANALOG_INPUT_3001623,NAE02/FC-1.15-UP-31.ZN1-T
204,OBJECT_ANALOG_INPUT_3002050,NAE02/FC-1.CU-15.OA-F
205,OBJECT_ANALOG_INPUT_3002054,NAE02/FC-1.CU-15.RA-CO2E
206,OBJECT_ANALOG_INPUT_3002055,NAE02/FC-1.CU-15.RA-CO2D
207,OBJECT_ANALOG_INPUT_3002056,NAE02/FC-1.CU-15.ZN2-T
208,OBJECT_ANALOG_INPUT_3002057,NAE02/FC-1.CU-15.ZN1-T
209,OBJECT_ANALOG_INPUT_3002058,NAE02/FC-1.CU-15.ZN3-T
210,OBJECT_ANALOG_INPUT_3002059,NAE02/FC-1.CU-15.ZN4-T
211,OBJECT_ANALOG_INPUT_3002064,NAE02/FC-1.CU-15.FLOOR-P1
212,OBJECT_ANALOG_INPUT_3002065,NAE02/FC-1.CU-15.FLOOR-P2
213,OBJECT_ANALOG_INPUT_3002066,NAE02/FC-1.CU-15.SA-T
214,OBJECT_ANALOG_INPUT_3002069,NAE02/FC-1.CU-15.RA-CO2A
215,OBJECT_ANALOG_INPUT_3002072,NAE02/FC-1.CU-15.RA-CO2B
216,OBJECT_ANALOG_INPUT_3002092,NAE02/FC-1.CU-15.RA-CO2C
217,OBJECT_ANALOG_INPUT_3002218,NAE02/FC-2.18-UP-52.CO2-A
218,OBJECT_ANALOG_INPUT_3002220,NAE02/FC-2.18-UP-52.CO2-B
219,OBJECT_ANALOG_INPUT_3002385,NAE02/FC-2.18-UP-52.ZN1-T
220,OBJECT_ANALOG_INPUT_3002386,NAE02/FC-2.18-UP-52.ZN2-T
221,OBJECT_ANALOG_INPUT_3002888,NAE02/FC-1.14-AC-34.ZN1-T
222,OBJECT_ANALOG_INPUT_3002889,NAE02/FC-1.14-AC-34.ZN2-T
223,OBJECT_ANALOG_INPUT_3003346,NAE02/FC-1.NAE02-T1-VMA55.ZN-T
224,OBJECT_ANALOG_INPUT_3003347,NAE02/FC-1.NAE02-T1-VMA69.ZN-T
225,OBJECT_ANALOG_INPUT_3003348,NAE02/FC-1.NAE02-T1-VMA68.ZN-T
226,OBJECT_ANALOG_INPUT_3003349,NAE02/FC-2.NAE02-T2-VMA29.ZN-T
227,OBJECT_ANALOG_INPUT_3003350,NAE02/FC-2.NAE02-T2-VMA4.ZN-T
228,OBJECT_ANALOG_INPUT_3003351,NAE02/FC-2.NAE02-T2-VMA42.ZN-T
229,OBJECT_ANALOG_INPUT_3004171,NAE02/FC-1.Device-57019.Analog Inputs.AI-4
230,OBJECT_ANALOG_INPUT_3004172,NAE02/FC-1.Device-57019.Analog Inputs.AI-3
231,OBJECT_ANALOG_INPUT_3004173,NAE02/FC-1.Device-57019.Analog Inputs.AI-2
232,OBJECT_ANALOG_INPUT_3004174,NAE02/FC-1.Device-57019.Analog Inputs.AI-1
233,OBJECT_ANALOG_INPUT_3004197,NAE02/FC-1.BTU Meter 14th Floor.Analog Inputs.AI-4
234,OBJECT_ANALOG_INPUT_3004198,NAE02/FC-1.BTU Meter 14th Floor.Analog Inputs.AI-3
235,OBJECT_ANALOG_INPUT_3004199,NAE02/FC-1.BTU Meter 14th Floor.Analog Inputs.AI-2
236,OBJECT_ANALOG_INPUT_3004200,NAE02/FC-1.BTU Meter 14th Floor.Analog Inputs.AI-1
237,OBJECT_ANALOG_INPUT_3007228,NAE02/FC-1.15-UP-33.ZN1-T
238,OBJECT_ANALOG_INPUT_3007288,NAE02/FC-2.16-UP-45.CO2-A
239,OBJECT_ANALOG_INPUT_3010770,NAE02/FC-1.13-FCU-82.ZN-T
240,OBJECT_ANALOG_INPUT_3010773,NAE02/FC-1.13-FCU-82.DA-T
241,OBJECT_ANALOG_INPUT_3010780,NAE02/FC-1.14-FCU-83.ZN-T
242,OBJECT_ANALOG_INPUT_3010785,NAE02/FC-1.14-FCU-83.DA-T
243,OBJECT_ANALOG_INPUT_3010790,NAE02/FC-1.14-UP-84.ZN1-T
244,OBJECT_ANALOG_INPUT_3010800,NAE02/FC-1.14-UP-85.ZN1-T
245,OBJECT_ANALOG_INPUT_3010810,NAE02/FC-1.14-UP-86.ZN1-T
246,OBJECT_ANALOG_INPUT_3010820,NAE02/FC-1.14-UP-87.ZN1-T
247,OBJECT_ANALOG_INPUT_3011039,NAE02/FC-2.16-UP-57.ZN1-T
248,OBJECT_ANALOG_INPUT_3011041,NAE02/FC-2.16-UP-57.ZN2-T
249,OBJECT_ANALOG_INPUT_3011055,NAE02/FC-2.16-UP-58.ZN1-T
250,OBJECT_ANALOG_INPUT_3011119,NAE02/FC-1.BTU METER 13th Floor.Analog Inputs.AI-4
251,OBJECT_ANALOG_INPUT_3011120,NAE02/FC-1.BTU METER 13th Floor.Analog Inputs.AI-3
252,OBJECT_ANALOG_INPUT_3011121,NAE02/FC-1.BTU METER 13th Floor.Analog Inputs.AI-2
253,OBJECT_ANALOG_INPUT_3011122,NAE02/FC-1.BTU METER 13th Floor.Analog Inputs.AI-1
254,OBJECT_ANALOG_INPUT_3012530,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-0
255,OBJECT_ANALOG_INPUT_3012532,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-2
256,OBJECT_ANALOG_INPUT_3012533,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-3
257,OBJECT_ANALOG_INPUT_3012534,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-4
258,OBJECT_ANALOG_INPUT_3012535,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-5
259,OBJECT_ANALOG_INPUT_3012536,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-6
260,OBJECT_ANALOG_INPUT_3012537,NAE02/FC-2.CU-17-BTU.Analog Inputs.AI-7
