,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
236,OBJECT_ANALOG_OUTPUT_3000526,NAE08/FC-1.NAE8-T1-FEC46.DAD1-O
237,OBJECT_ANALOG_OUTPUT_3000539,NAE08/FC-1.NAE8-T1-FEC47.SUPHTG2-%
238,OBJECT_ANALOG_OUTPUT_3000540,NAE08/FC-1.NAE8-T1-FEC47.ZN2-DAD-%
239,OBJECT_ANALOG_OUTPUT_3000541,NAE08/FC-1.NAE8-T1-FEC47.SUPHTG1-%
240,OBJECT_ANALOG_OUTPUT_3000543,NAE08/FC-1.NAE8-T1-FEC47.DAD1-O
241,OBJECT_ANALOG_OUTPUT_3000556,NAE08/FC-1.NAE8-T1-FEC48.SUPHTG2-%
242,OBJECT_ANALOG_OUTPUT_3000557,NAE08/FC-1.NAE8-T1-FEC48.ZN2-DAD-%
243,OBJECT_ANALOG_OUTPUT_3000558,NAE08/FC-1.NAE8-T1-FEC48.SUPHTG1-%
244,OBJECT_ANALOG_OUTPUT_3000560,NAE08/FC-1.NAE8-T1-FEC48.DAD1-O
245,OBJECT_ANALOG_OUTPUT_3000573,NAE08/FC-1.NAE8-T1-FEC49.SUPHTG2-%
246,OBJECT_ANALOG_OUTPUT_3000574,NAE08/FC-1.NAE8-T1-FEC49.ZN2-DAD-%
247,OBJECT_ANALOG_OUTPUT_3000575,NAE08/FC-1.NAE8-T1-FEC49.SUPHTG1-%
248,OBJECT_ANALOG_OUTPUT_3000577,NAE08/FC-1.NAE8-T1-FEC49.DAD1-O
249,OBJECT_ANALOG_OUTPUT_3000590,NAE08/FC-1.NAE8-T1-FEC50.SUPHTG2-%
250,OBJECT_ANALOG_OUTPUT_3000591,NAE08/FC-1.NAE8-T1-FEC50.ZN2-DAD-%
251,OBJECT_ANALOG_OUTPUT_3000592,NAE08/FC-1.NAE8-T1-FEC50.SUPHTG1-%
252,OBJECT_ANALOG_OUTPUT_3000594,NAE08/FC-1.NAE8-T1-FEC50.DAD1-O
